produit_id,produit_name,category,prix
1,Produit_1,Electronics,1833
2,Produit_2,Electronics,2918
3,Produit_3,Home,2254
4,Produit_4,Gaming,306
5,Produit_5,Gaming,2603
6,Produit_6,Fashion,168
7,Produit_7,Accessories,960
8,Produit_8,Home,1256
9,Produit_9,Fashion,2937
10,Produit_10,Accessories,1006
11,Produit_11,Electronics,2359
12,Produit_12,Electronics,2038
13,Produit_13,Electronics,1831
14,Produit_14,Electronics,451
15,Produit_15,Accessories,504
16,Produit_16,Home,1776
17,Produit_17,Gaming,35
18,Produit_18,Gaming,857
19,Produit_19,Accessories,2755
20,Produit_20,Smartphone,690
21,Produit_21,Smartphone,1580
22,Produit_22,Home,643
23,Produit_23,Fashion,2015
24,Produit_24,Gaming,2756
25,Produit_25,Home,691
26,Produit_26,Electronics,622
27,Produit_27,Smartphone,71
28,Produit_28,Smartphone,1825
29,Produit_29,Electronics,1917
30,Produit_30,Fashion,229
31,Produit_31,Gaming,67
32,Produit_32,Accessories,1209
33,Produit_33,Gaming,2220
34,Produit_34,Fashion,1425
35,Produit_35,Accessories,2094
36,Produit_36,Smartphone,759
37,Produit_37,Accessories,1992
38,Produit_38,Fashion,2441
39,Produit_39,Accessories,401
40,Produit_40,Accessories,688
41,Produit_41,Home,2290
42,Produit_42,Fashion,1003
43,Produit_43,Gaming,2334
44,Produit_44,Smartphone,739
45,Produit_45,Electronics,1153
46,Produit_46,Electronics,2978
47,Produit_47,Accessories,517
48,Produit_48,Home,363
49,Produit_49,Accessories,207
50,Produit_50,Electronics,1475
51,Produit_51,Gaming,2703
52,Produit_52,Smartphone,2800
53,Produit_53,Accessories,622
54,Produit_54,Accessories,689
55,Produit_55,Smartphone,2599
56,Produit_56,Smartphone,575
57,Produit_57,Fashion,1685
58,Produit_58,Smartphone,1245
59,Produit_59,Accessories,456
60,Produit_60,Accessories,874
61,Produit_61,Electronics,474
62,Produit_62,Accessories,533
63,Produit_63,Smartphone,1838
64,Produit_64,Gaming,164
65,Produit_65,Smartphone,2242
66,Produit_66,Home,2304
67,Produit_67,Home,2853
68,Produit_68,Gaming,2307
69,Produit_69,Accessories,1115
70,Produit_70,Gaming,1869
71,Produit_71,Home,245
72,Produit_72,Smartphone,2386
73,Produit_73,Home,2630
74,Produit_74,Home,1982
75,Produit_75,Smartphone,976
76,Produit_76,Fashion,624
77,Produit_77,Home,1575
78,Produit_78,Fashion,1850
79,Produit_79,Accessories,2360
80,Produit_80,Accessories,567
81,Produit_81,Gaming,342
82,Produit_82,Smartphone,242
83,Produit_83,Fashion,831
84,Produit_84,Fashion,2485
85,Produit_85,Home,1433
86,Produit_86,Electronics,142
87,Produit_87,Home,1700
88,Produit_88,Accessories,2474
89,Produit_89,Accessories,2066
90,Produit_90,Accessories,741
91,Produit_91,Electronics,2607
92,Produit_92,Accessories,2600
93,Produit_93,Fashion,1361
94,Produit_94,Accessories,173
95,Produit_95,Electronics,2657
96,Produit_96,Electronics,2679
97,Produit_97,Accessories,1304
98,Produit_98,Smartphone,1893
99,Produit_99,Gaming,2916
100,Produit_100,Accessories,2519
101,Produit_101,Smartphone,1761
102,Produit_102,Fashion,416
103,Produit_103,Fashion,1663
104,Produit_104,Home,2473
105,Produit_105,Fashion,633
106,Produit_106,Gaming,1360
107,Produit_107,Electronics,1009
108,Produit_108,Accessories,2875
109,Produit_109,Smartphone,2219
110,Produit_110,Electronics,1060
111,Produit_111,Fashion,540
112,Produit_112,Home,137
113,Produit_113,Fashion,1021
114,Produit_114,Electronics,2383
115,Produit_115,Gaming,114
116,Produit_116,Accessories,1363
117,Produit_117,Home,2106
118,Produit_118,Electronics,2266
119,Produit_119,Electronics,2462
120,Produit_120,Gaming,2691
121,Produit_121,Electronics,1361
122,Produit_122,Gaming,683
123,Produit_123,Fashion,1017
124,Produit_124,Electronics,2778
125,Produit_125,Gaming,321
126,Produit_126,Home,2990
127,Produit_127,Electronics,1282
128,Produit_128,Accessories,1230
129,Produit_129,Accessories,2537
130,Produit_130,Fashion,2105
131,Produit_131,Home,1811
132,Produit_132,Smartphone,530
133,Produit_133,Electronics,1513
134,Produit_134,Gaming,524
135,Produit_135,Home,70
136,Produit_136,Electronics,627
137,Produit_137,Accessories,2893
138,Produit_138,Electronics,1565
139,Produit_139,Home,2941
140,Produit_140,Smartphone,1080
141,Produit_141,Electronics,2557
142,Produit_142,Gaming,1633
143,Produit_143,Smartphone,896
144,Produit_144,Smartphone,2318
145,Produit_145,Home,2611
146,Produit_146,Fashion,1616
147,Produit_147,Accessories,1511
148,Produit_148,Accessories,1849
149,Produit_149,Electronics,2308
150,Produit_150,Accessories,766
151,Produit_151,Home,1152
152,Produit_152,Home,2919
153,Produit_153,Gaming,2623
154,Produit_154,Fashion,398
155,Produit_155,Smartphone,330
156,Produit_156,Smartphone,2106
157,Produit_157,Home,934
158,Produit_158,Accessories,2549
159,Produit_159,Fashion,2321
160,Produit_160,Home,973
161,Produit_161,Home,2455
162,Produit_162,Smartphone,2689
163,Produit_163,Accessories,2245
164,Produit_164,Gaming,1430
165,Produit_165,Smartphone,699
166,Produit_166,Accessories,826
167,Produit_167,Home,275
168,Produit_168,Gaming,2898
169,Produit_169,Fashion,2824
170,Produit_170,Smartphone,891
171,Produit_171,Home,933
172,Produit_172,Gaming,1714
173,Produit_173,Electronics,2188
174,Produit_174,Smartphone,2849
175,Produit_175,Electronics,45
176,Produit_176,Gaming,1755
177,Produit_177,Smartphone,1393
178,Produit_178,Fashion,1727
179,Produit_179,Home,910
180,Produit_180,Home,1280
181,Produit_181,Fashion,2898
182,Produit_182,Fashion,506
183,Produit_183,Electronics,2772
184,Produit_184,Smartphone,2270
185,Produit_185,Smartphone,1328
186,Produit_186,Smartphone,1680
187,Produit_187,Gaming,2019
188,Produit_188,Home,1435
189,Produit_189,Accessories,2530
190,Produit_190,Electronics,1594
191,Produit_191,Fashion,468
192,Produit_192,Gaming,1423
193,Produit_193,Electronics,920
194,Produit_194,Smartphone,1261
195,Produit_195,Smartphone,1087
196,Produit_196,Home,394
197,Produit_197,Electronics,1869
198,Produit_198,Smartphone,1619
199,Produit_199,Smartphone,94
200,Produit_200,Smartphone,1195
201,Produit_201,Accessories,403
202,Produit_202,Electronics,80
203,Produit_203,Gaming,2546
204,Produit_204,Accessories,2623
205,Produit_205,Gaming,2491
206,Produit_206,Smartphone,244
207,Produit_207,Gaming,2219
208,Produit_208,Electronics,390
209,Produit_209,Smartphone,1466
210,Produit_210,Accessories,1748
211,Produit_211,Fashion,2888
212,Produit_212,Gaming,2862
213,Produit_213,Electronics,2562
214,Produit_214,Electronics,1183
215,Produit_215,Gaming,2065
216,Produit_216,Electronics,1661
217,Produit_217,Electronics,1070
218,Produit_218,Electronics,1562
219,Produit_219,Home,2791
220,Produit_220,Smartphone,166
221,Produit_221,Gaming,1047
222,Produit_222,Gaming,1916
223,Produit_223,Smartphone,2035
224,Produit_224,Fashion,640
225,Produit_225,Gaming,61
226,Produit_226,Smartphone,428
227,Produit_227,Gaming,1541
228,Produit_228,Accessories,2906
229,Produit_229,Home,1780
230,Produit_230,Accessories,373
231,Produit_231,Smartphone,1594
232,Produit_232,Electronics,2794
233,Produit_233,Accessories,1110
234,Produit_234,Accessories,888
235,Produit_235,Electronics,2693
236,Produit_236,Accessories,2621
237,Produit_237,Smartphone,162
238,Produit_238,Fashion,168
239,Produit_239,Smartphone,1917
240,Produit_240,Gaming,1351
241,Produit_241,Gaming,278
242,Produit_242,Fashion,485
243,Produit_243,Fashion,2949
244,Produit_244,Home,548
245,Produit_245,Gaming,1805
246,Produit_246,Electronics,1395
247,Produit_247,Gaming,1864
248,Produit_248,Accessories,2710
249,Produit_249,Home,2578
250,Produit_250,Gaming,994
251,Produit_251,Home,45
252,Produit_252,Fashion,2863
253,Produit_253,Smartphone,410
254,Produit_254,Fashion,1277
255,Produit_255,Home,656
256,Produit_256,Fashion,485
257,Produit_257,Smartphone,1710
258,Produit_258,Electronics,870
259,Produit_259,Fashion,1039
260,Produit_260,Home,747
261,Produit_261,Home,292
262,Produit_262,Electronics,658
263,Produit_263,Fashion,1015
264,Produit_264,Gaming,131
265,Produit_265,Gaming,1721
266,Produit_266,Home,774
267,Produit_267,Smartphone,2688
268,Produit_268,Fashion,539
269,Produit_269,Gaming,2726
270,Produit_270,Electronics,363
271,Produit_271,Accessories,2861
272,Produit_272,Gaming,1101
273,Produit_273,Electronics,2310
274,Produit_274,Accessories,434
275,Produit_275,Gaming,107
276,Produit_276,Electronics,1176
277,Produit_277,Accessories,308
